,city,page_link,sleeps,area_sqm,bedrooms,bathroom,price,currency
175,https://www.waytostay.com/paris-apartments/,https://www.waytostay.com/paris-apartments/decosse-24859/,3,25,studio,1,50,€
176,https://www.waytostay.com/paris-apartments/,https://www.waytostay.com/paris-apartments/jussieu-24862/,4,40,1,1,49,€
177,https://www.waytostay.com/paris-apartments/,https://www.waytostay.com/paris-apartments/mandar-24868/,4,45,1,1,62,€
178,https://www.waytostay.com/paris-apartments/,https://www.waytostay.com/paris-apartments/amiral-roussin-24875/,4,50,1,1,41,€
179,https://www.waytostay.com/paris-apartments/,https://www.waytostay.com/paris-apartments/bourdonnais-24881/,2,30,studio,1,88,€
180,https://www.waytostay.com/paris-apartments/,https://www.waytostay.com/paris-apartments/capucines-24885/,5,60,2,2,53,€
181,https://www.waytostay.com/paris-apartments/,https://www.waytostay.com/paris-apartments/seine--24907/,4,30,1,1,55,€
182,https://www.waytostay.com/paris-apartments/,https://www.waytostay.com/paris-apartments/choron-24908/,4,30,1,1,38,€
183,https://www.waytostay.com/paris-apartments/,https://www.waytostay.com/paris-apartments/castex-24909/,4,42,1,1,43,€
184,https://www.waytostay.com/paris-apartments/,https://www.waytostay.com/paris-apartments/square-lagarde-24914/,4,60,2,1,56,€
185,https://www.waytostay.com/paris-apartments/,https://www.waytostay.com/paris-apartments/saint-sauveur-24918/,3,27,1,1,40,€
186,https://www.waytostay.com/paris-apartments/,https://www.waytostay.com/paris-apartments/tiquetonne-24921/,4,95,2,2,102,€
187,https://www.waytostay.com/paris-apartments/,https://www.waytostay.com/paris-apartments/chapon-24922/,4,36,studio,1,39,€
188,https://www.waytostay.com/paris-apartments/,https://www.waytostay.com/paris-apartments/general-bertrand-24923/,2,28,studio,1,77,€
189,https://www.waytostay.com/paris-apartments/,https://www.waytostay.com/paris-apartments/valence-6-24924/,2,35,1,1,76,€
190,https://www.waytostay.com/paris-apartments/,https://www.waytostay.com/paris-apartments/balade-champetre-24930/,3,32,1,1,48,€
191,https://www.waytostay.com/paris-apartments/,https://www.waytostay.com/paris-apartments/valence-4-24944/,4,48,1,1,44,€
192,https://www.waytostay.com/paris-apartments/,https://www.waytostay.com/paris-apartments/salpetriere-24959/,5,45,2,1,34,€
193,https://www.waytostay.com/paris-apartments/,https://www.waytostay.com/paris-apartments/saint-honore-24980/,4,38,1,1,43,€
194,https://www.waytostay.com/paris-apartments/,https://www.waytostay.com/paris-apartments/beaurepaire-24981/,4,53,2,2,27,€
195,https://www.waytostay.com/paris-apartments/,https://www.waytostay.com/paris-apartments/varenne-24983/,3,55,1,1,74,€
196,https://www.waytostay.com/paris-apartments/,https://www.waytostay.com/paris-apartments/capucines-24984/,4,55,1,1,51,€
